Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
Elegant company playing music and dancing in an interior,http://www.wikidata.org/entity/Q108385554,Merry Company,Academy of Fine Arts Vienna,,Academy of Fine Arts Vienna,Jakob Gsell,Pieter Codde,oil paint,,,,,1633,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Codde%20-%20Merry%20Company.jpg
Holländische Familie,http://www.wikidata.org/entity/Q19944849,Group portrait of an unknown family or company,Academy of Fine Arts Vienna,,Academy of Fine Arts Vienna,Academy of Fine Arts Vienna,Pieter de Hooch,oil paint,Netherlands,https://www.wga.hu/html/h/hooch/2/23hooch.html,public domain,,1658,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20de%20Hooch%20013.jpg
,http://www.wikidata.org/entity/Q83435771,Beggar Family,Adolphe Schloss collection,,Adolphe Schloss collection,,Johannes Lingelbach,oil paint,,https://www.diplomatie.gouv.fr/sites/archives_diplo/schloss/tableauxL/tableaux104.html?provenance=collection,,,1670,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Lingelbach%20-%20Beggar%20Family%20B323-1040-fol.001cr%20Schloss120.jpg
,http://www.wikidata.org/entity/Q83960645,Landscape with a cowherd and a donkey rider,Adolphe Schloss collection,,Adolphe Schloss collection,,Nicolaes Pieterszoon Berchem,oil paint,,https://www.diplomatie.gouv.fr/sites/archives_diplo/schloss/tableauxB/tableaux20.html?provenance=collection,,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaes%20Berchem%20-%20Donkery%20rider%20and%20cowherd%20with%20a%20dog%20B323-1037-fol.002hr%20Schloss10.jpg
A woman with a bird cage and a dog,http://www.wikidata.org/entity/Q83560631,A woman with a bird cage and a dog,Adolphe Schloss collection,,Adolphe Schloss collection,,Philip van Dijk,oil paint,,https://www.diplomatie.gouv.fr/sites/archives_diplo/schloss/tableauxD/tableaux51.html?provenance=collection,,,1714,
,http://www.wikidata.org/entity/Q83434084,La tricoteuse,Adolphe Schloss collection,,Adolphe Schloss collection,,Pieter Cornelisz van Slingelandt,oil paint,,https://www.diplomatie.gouv.fr/sites/archives_diplo/schloss/tableauxS/tableaux149.html?provenance=collection,,,1680,http://commons.wikimedia.org/wiki/Special:FilePath/Pietere%20Cornelisz%20van%20Slingelandt%20-%20The%20Knitter%20B323-1041-fol.003fr%20Schloss195.jpg
"Interior with two women, two children and a parrot",http://www.wikidata.org/entity/Q20087149,"Interior with two women, two children and a parrot",Null,,Adolphe Schloss collection,,Pieter de Hooch,oil paint,,,public domain,,1673,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20de%20Hooch%20-%20Interior%20with%20two%20women%2C%20two%20children%20and%20a%20parrot.jpg
Winterlandschap met houten huis,http://www.wikidata.org/entity/Q21083431,Winter Landscape with Wooden House,Alfred Bader Fine Arts,,Alfred Bader Fine Arts,,Jacob van Ruisdael,oil paint,,,public domain,,1670,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Ruisdael%20-%20Winter%20Landscape%20-%20Bader%20collection.jpg
Ansicht der Rückfront der Häuser an der Schloßfreiheit,http://www.wikidata.org/entity/Q62195622,Rear view of the Houses at Schloßfreiheit,London,,Alte Nationalgalerie,Alte Nationalgalerie,Eduard Gaertner,oil paint,,http://www.smb-digital.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=966022&viewType=detailView,public domain,,1855,http://commons.wikimedia.org/wiki/Special:FilePath/Eduard%20Gaertner%20-%20Ansicht%20der%20R%C3%BCckfront%20der%20H%C3%A4user%20an%20der%20Schlo%C3%9Ffreiheit%20-%20Google%20Art%20Project.jpg
Das letzte Abendmahl,http://www.wikidata.org/entity/Q29953682,Last Supper,Alte Pinakothek,,Alte Pinakothek,,Pieter Coecke van Aelst,oil paint,,,public domain,,1574,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Coecke%20van%20Aelst%20%28Kopie%20nach%29%20-%20Das%20letzte%20Abendmahl%20-%204456%20-%20Bavarian%20State%20Painting%20Collections.jpg
,http://www.wikidata.org/entity/Q766212,Swimming,Amon Carter Museum of American Art,Realism,Amon Carter Museum of American Art,,Thomas Eakins,oil paint,United States of America,https://www.cartermuseum.org/collection/swimming-1990191,public domain,,1884,http://commons.wikimedia.org/wiki/Special:FilePath/Swimming%20hole.jpg
Landscape,http://www.wikidata.org/entity/Q17342494,Landscape,Amsterdam Museum,,Amsterdam Museum,Adriaan van der Hoop,Alexandre Calame,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-C-302,public domain,,1837,http://commons.wikimedia.org/wiki/Special:FilePath/Landschap%20Rijksmuseum%20SK-C-302.jpeg
De Grote Markt van Haarlem tijdens een feestelijke gebeurtenis,http://www.wikidata.org/entity/Q17889833,"The Grote Markt, Haarlem at the announcement of the Treaty of Munster, 1648",Amsterdam Museum,,Amsterdam Museum,Adriaan van der Hoop,Cornelis Beelt,oil paint,,,public domain,,1680,http://commons.wikimedia.org/wiki/Special:FilePath/La%20plaza%20del%20mercado%20de%20Haarlem%20durante%20una%20fiesta%2C%20por%20Cornelis%20Beelt.jpg
Heer met hond,http://www.wikidata.org/entity/Q17531711,Portrait of an unknown man,Amsterdam Museum,,Amsterdam Museum,,Cornelis Kruseman,oil paint,,,public domain,,1837,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20Kruseman%20-%20Heer%20met%20hond%20-%20SA%205498%20-%20Amsterdam%20Museum.jpg
Uitgaan,http://www.wikidata.org/entity/Q17531617,Uitgaan,Amsterdam Museum,,Amsterdam Museum,,David Bles,Null,,,public domain,,1861,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Bles%20-%20Uitgaan%20-%20SA%20130%20-%20Amsterdam%20Museum.jpg
Interieur Oude Kerk Amsterdam,http://www.wikidata.org/entity/Q17792818,Interior of the Oude Kerk in Amsterdam,Amsterdam Museum,,Amsterdam Museum,,Emanuel de Witte,oil paint,,https://beeldbank.cultureelerfgoed.nl/rce-mediabank/detail/ab80f454-294d-bd36-79fa-4312b0d71feb/media/84465c46-b284-41bf-de98-b5bf79e3eacf?mode=detail&view=horizontal&q=Emanuel%20de%20witte&rows=1&page=1&fq%5B%5D=search_s_entity_name:%22Foto%27s%20en%20dia%27s%22&filterAction,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/385-Interieur%20Oude%20Kerk%20Amsterdam.jpg
Interieur van de Oude Kerk te Amsterdam,http://www.wikidata.org/entity/Q26953472,Interior of the Oude Kerk in Amsterdam,Amsterdam Museum,,Amsterdam Museum,,Emanuel de Witte,oil paint,,http://herkomstgezocht.nl/nl/nk-collectie/interieur-van-de-oude-kerk-te-amsterdam,public domain,,1659,http://commons.wikimedia.org/wiki/Special:FilePath/E.%20de%20Witte%20-%20Interieur%20van%20de%20Oude%20Kerk%20te%20Amsterdam%20-%20NK2503%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg
De Omval bij Amsterdam,http://www.wikidata.org/entity/Q17897765,Amstel inlet 'De Omval' near Amsterdam,Amsterdam Museum,,Amsterdam Museum,,Jacob Esselens,oil paint,,,public domain,,1667,http://commons.wikimedia.org/wiki/Special:FilePath/SA%2041147-De%20Omval%20bij%20Amsterdam.jpg
Aankomst op Soestdijk van Cornelis de Graeff met zijn echtgenote en zonen,http://www.wikidata.org/entity/Q20803805,Cornelis de Graeff with his Wife and Sons,Amsterdam Museum,,Amsterdam Museum,,Jacob van Ruisdael,oil paint,,,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Isaacksz.%20van%20Ruisdael%20-%20Aankomst%20op%20Soestdijk%20van%20Cornelis%20de%20Graeff%20met%20zijn%20echtgenote%20en%20zonen%20-%20182%20-%20Amsterdam%20Museum.jpg
,http://www.wikidata.org/entity/Q27537133,Michael Ancher returning from a hunt,Anchers Hus,,Anchers Hus,,Peder Severin Krøyer,oil paint,,http://skagenskunstmuseer.dk/vaerker/michael-ancher-vender-hjem-jagten/,public domain,,1886,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Ancher%20vender%20hjem%20fra%20jagten.jpg
"Un enfant dans son berceau, entraîné par les eaux de l'inondation du mois de nivôse an X",http://www.wikidata.org/entity/Q106762566,"Un enfant dans son berceau, entraîné par les eaux de l'inondation du mois de nivôse an X",Arkhangelskoye Main Palace,,Arkhangelskoye Estate Museum,Nikolay Yusupov,Marie-Denise Villers,oil paint,Russia,,,,1810,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Denise%20Villers%20-%20Un%20enfant%20dans%20son%20berceau%2C%20entrain%C3%A9%20par%20les%20eaux%20de%20l%E2%80%99inondation%20du%20mois%20de%20nivose%20an%20X%20%28Arkhangelskoe%29.jpg
Vinterlandskab med Brabrand Kirke,http://www.wikidata.org/entity/Q30511179,Winterlandscape with Brabrand Church,ARoS Aarhus Kunstmuseum,,ARoS Aarhus Kunstmuseum,,Christian David Gebauer,oil paint,,,public domain,,1831,http://commons.wikimedia.org/wiki/Special:FilePath/Winter%20Landscape%20with%20Brabrand%20Church.jpg
,http://www.wikidata.org/entity/Q21127247,,ARoS Aarhus Kunstmuseum,,ARoS Aarhus Kunstmuseum,,Jørgen Sonne,oil paint,,,public domain,,1859,http://commons.wikimedia.org/wiki/Special:FilePath/En%20ligf%C3%A6rd%20Motiv%20fra%20det%20nordlige%20Sj%C3%A6lland.jpg
Brønden på pladsen St. Sophie ved Serailets port i Constantinopel,http://www.wikidata.org/entity/Q21031189,Well on St Sophie's Square near the Gate of the Seraglio in Constantinople,ARoS Aarhus Kunstmuseum,,ARoS Aarhus Kunstmuseum,,Martinus Rørbye,oil paint,,,public domain,,2022,http://commons.wikimedia.org/wiki/Special:FilePath/Br%C3%B8nden%20p%C3%A5%20pladsen%20St.%20Sophie%20ved%20Seraillets%20port%20i%20Constantinopel.jpg
Figures in a forest landscape,http://www.wikidata.org/entity/Q28797798,Figures in a forest landscape,Art Gallery of South Australia,,Art Gallery of South Australia,,Jacob van Strij,Null,,,public domain,,1790,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Strij%20-%20Figures%20in%20a%20forest%20landscape%20-%20Google%20Art%20Project.jpg
